,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOQUE I,1,2,2,2,2,1,1,1,1,1,1,0,1,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOQUE II,2,2,2,1,6,2,1,1,1,1,1,1,1,1,4,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estadistica ,Probabilidad ,Mat. Discretas ,Algebra L.,Calculo Diferencial ,Calculo Integral ,Calculo Multivariable ,Ecs. Diferenciales ,Metodos Numericos ,Matematicas 1,Matematicas 2,Matematicas 3,PRECALCULO,Int. Termodinamica ,Fisica I,Fisica II,Quimica ,Elec. y Magnetismo ,,,DISPONIBILIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horas de materia,3,3,3,3,5,5,5,5,4,4,4,4,5,4,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,1,5,1000,1000,1000,1000,1000,1000,1000,5,5,1000,1000,1000,5,5,1000,1000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,5,1,5,5,1000,1000,1000,1000,1000,1000,1000,5,1000,1000,1000,1000,1000,1000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,1000,1000,5,1000,1,5,5,5,1000,5,5,5,5,1000,1000,1000,1000,1000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,1000,1000,5,5,1000,1000,5,1000,1,1000,1000,5,1000,1000,1000,1000,1000,1000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11,1,1,5,5,1000,1000,1000,1000,1000,1000,1000,5,1000,1000,1000,1000,1000,1000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M13,1,1,1000,1000,1000,1000,1000,1000,1000,5,5,5,1000,1000,1000,1000,1000,1000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20,1000,5,1000,1000,5,5,1,5,1000,1000,1000,5,5,1000,1000,1000,1000,1000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M21,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,5,1000,1000,1000,1000,1000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5,1000,1000,1000,1000,1000,1000,1000,1000,1000,5,5,1000,1,1000,1,2,1000,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,1000,1000,1000,1,1000,1000,1000,1000,1000,5,5,2,1000,1000,1000,1000,1000,1000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,4,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5,1000,1000,1000,2,1000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10,1000,1000,1000,1000,1,1,1,1,1000,5,5,4,5,1000,1000,1000,5,1000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M15,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5,5,1,2,3,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,1000,1000,1000,1000,5,1,1000,1000,1000,5,5,1000,5,1000,5,5,1000,1000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M19,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,5,1000,1000,1000,1000,1000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M22,5,5,1000,1000,5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
