,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MEIRCOLES,MEIRCOLES,MIERCOLES,MIERCOLES,MEIRCOLES,MEIRCOLES,MEIRCOLES,MEIRCOLES,MIERCOLES,MIERCOLES,MEIRCOLES,MEIRCOLES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,,,,,,,,,,,,,,,,,,,,,,,,
,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,,,,,,,Lunes,Martes,Miercoles,Jueves,,materia,materia,materia,,,,,,,,RESTRICCION,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPOS,lunes,martes,miercoles,jueves,,3,4,5,,,suma,,HORAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES
M1_1,1,1,1000,1000,1000,1000,1000,1,1,1,1000,1000,1,1,1000,1000,1000,1000,1000,1,1,1,1000,1000,1,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,M1,,,M1_1,,#REF!,2,2,1,0,,3,0,0,,,3,,3,2,2,2,2,2
M2_1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1000,1000,1,1,1,1,1,1,1,1,1,1,1000,1000,1,1,1,1,1,1,1,1,1,1,1000,1000,1,1,1,1,1,1,1,1000,1000,1,1000,1000,M2,,,M2_1,,,6,6,6,6,,3,0,0,,,3,,3,2,2,2,2,2
M3_1,1,1,1,1000,1000,1000,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,M3,,,M3_1,,,3,0,0,3,,3,0,0,,,3,,3,2,2,2,2,2
M4_1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1000,1000,1000,1000,1000,M4,,,M4_1,,,2,2,4,4,,0,4,0,,,4,,4,2,2,2,2,2
M11_1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1000,1000,1000,1,1000,1,M11,,,M11_1,,,6,5,6,6,,3,0,0,,,3,,3,2,2,2,2,2
M13_1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,M13,,,M13_1,,,0,2,2,2,,3,0,0,,,3,,3,2,2,2,2,2
M20_1,1,1,1,1,1,1,1000,1000,1,1,1,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1,1,1,1000,M20,,,M20_1,,,6,6,6,6,,0,0,5,,,5,,5,2,2,2,2,2
M21_1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,M21,,,M21_1,,,0,3,2,2,,0,4,0,,,4,,4,2,2,2,2,2
